period,demand_MW,solar_MW,wind_MW,net_load_MW
2023-05-05 09:00:00,40843,0,22146,18697
2023-05-05 10:00:00,41160,0,21460,19700
2023-05-05 11:00:00,42592,0,20290,22302
2023-05-05 12:00:00,44877,2,18044,26831
2023-05-05 13:00:00,45947,1283,15940,28724
2023-05-05 14:00:00,47619,6397,11655,29567
2023-05-05 15:00:00,49864,9204,8512,32148
2023-05-05 16:00:00,52869,10404,7140,35325
2023-05-05 17:00:00,55870,11444,6312,38114
2023-05-05 18:00:00,58591,11760,5816,41015
2023-05-05 19:00:00,62130,11784,7402,42944
2023-05-05 20:00:00,65090,11727,9519,43844
2023-05-05 21:00:00,67148,11383,11619,44146
2023-05-05 22:00:00,67956,10638,12438,44880
2023-05-05 23:00:00,68343,9867,13508,44968
2023-05-06 00:00:00,66880,7613,14355,44912
2023-05-06 01:00:00,63823,3127,15049,45647
2023-05-06 02:00:00,61290,139,15035,46116
2023-05-06 03:00:00,58784,0,16351,42433
2023-05-06 04:00:00,55083,0,17700,37383
2023-05-06 05:00:00,51376,0,19412,31964
2023-05-06 06:00:00,47940,0,19415,28525
2023-05-06 07:00:00,45274,0,19284,25990
2023-05-06 08:00:00,43209,0,19982,23227
2023-05-06 09:00:00,41615,0,20090,21525
2023-05-06 10:00:00,40459,0,19199,21260
2023-05-06 11:00:00,40396,0,19064,21332
2023-05-06 12:00:00,40714,8,18752,21954
2023-05-06 13:00:00,41412,1561,17263,22588
2023-05-06 14:00:00,43943,6385,14329,23229
2023-05-06 15:00:00,46920,8543,14662,23715
2023-05-06 16:00:00,50291,10122,14399,25770
2023-05-06 17:00:00,53160,10741,11414,31005
2023-05-06 18:00:00,55759,10810,9022,35927
2023-05-06 19:00:00,58361,10766,7811,39784
2023-05-06 20:00:00,60355,10559,7612,42184
2023-05-06 21:00:00,61534,9315,8325,43894
2023-05-06 22:00:00,62172,8174,9637,44361
2023-05-06 23:00:00,61990,7631,12548,41811
2023-05-07 00:00:00,60568,6012,15099,39457
2023-05-07 01:00:00,58431,2267,16097,40067
2023-05-07 02:00:00,56833,100,16150,40583
2023-05-07 03:00:00,54978,0,16102,38876
2023-05-07 04:00:00,52249,0,17165,35084
2023-05-07 05:00:00,49067,0,17079,31988
2023-05-07 06:00:00,46112,0,16150,29962
2023-05-07 07:00:00,43959,0,15675,28284
2023-05-07 08:00:00,42450,0,16047,26403
2023-05-07 09:00:00,41467,0,16453,25014
2023-05-07 10:00:00,40956,0,16562,24394
2023-05-07 11:00:00,40708,0,16525,24183
2023-05-07 12:00:00,40880,7,16909,23964
2023-05-07 13:00:00,41328,816,16789,23723
2023-05-07 14:00:00,43276,3689,14159,25428
2023-05-07 15:00:00,45490,5733,12386,27371
2023-05-07 16:00:00,47381,7195,12174,28012
2023-05-07 17:00:00,48717,7643,11624,29450
2023-05-07 18:00:00,49663,7905,11639,30119
2023-05-07 19:00:00,50528,8353,12662,29513
2023-05-07 20:00:00,51558,8647,14543,28368
2023-05-07 21:00:00,52818,7975,17295,27548
2023-05-07 22:00:00,53899,7401,18820,27678
2023-05-07 23:00:00,54650,5908,19759,28983
2023-05-08 00:00:00,54376,4347,19549,30480
2023-05-08 01:00:00,53545,2290,18083,33172
2023-05-08 02:00:00,53349,180,18604,34565
2023-05-08 03:00:00,52346,0,21569,30777
2023-05-08 04:00:00,49721,0,21755,27966
2023-05-08 05:00:00,46555,0,21836,24719
2023-05-08 06:00:00,43838,0,20555,23283
2023-05-08 07:00:00,41982,0,19672,22310
2023-05-08 08:00:00,40888,0,18465,22423
2023-05-08 09:00:00,40680,0,17161,23519
2023-05-08 10:00:00,41138,0,16382,24756
2023-05-08 11:00:00,42687,0,16649,26038
2023-05-08 12:00:00,45199,3,17608,27588
2023-05-08 13:00:00,46259,1400,17432,27427
2023-05-08 14:00:00,47407,6180,12746,28481
2023-05-08 15:00:00,49324,8625,11439,29260
